role,title,company,city_clean,region,country,job_count
Data Scientist,Praktikant Market Intelligence (m/w/d),Rheinmetall AG,Bremen,,Germany,1
Data Scientist,Praktikum Datenanalyse und Softwaremonitoring / REF276331G,Robert Bosch GmbH,Stuttgart,,Germany,1
Data Scientist,Postdoctoral scientist (f/m/d),Leibniz-Institut für Pflanzen- genetik und Kulturpflanzen- forschung (IPK),Gatersleben,,Germany,1
Data Scientist,Biostatistiker* (m/w/d),Rheacell GmbH & Co. KG,Heidelberg,Neckar,Germany,1
Data Scientist,Senior Data Engineer (m/w/d) Databricks (inhouse/ 70% remote),Intercon Solutions GmbH,Düsseldorf,,Germany,1
Data Scientist,Senior Elixir Developer (m/w/d),bravobike GmbH,München,,Germany,1
Data Scientist,Intern Digitalization Corporate Treasury Sales (m/w/d),HypoVereinsbank - UniCredit Bank GmbH,München,,Germany,1
Data Scientist,Intern Credit Risk Modelling (f/m/d),HypoVereinsbank - UniCredit Bank GmbH,München,,Germany,1
Data Scientist,"26-64-9C IT-Server Expertin/IT-Server Experte (m/w/d) Informatik, Computer Science, Data Science",Physikalisch-Technische Bundesanstalt,Berlin,,Germany,1
Data Scientist,Praktikum Controlling International - Business Intelligence,Lidl Dienstleistung GmbH & Co. KG,Neckarsulm,,Germany,1
Data Scientist,Generative AI/Agentic AI Engineer (m/w/d) für AIRBUS,"Orizon GmbH, Unit Aviation",Ulm,Donau,Germany,1
Data Scientist,Masterand Zeitreihenanalyse zur Fehlerdetektion im Antriebsstrang (w/m/x),BMW AG,München,,Germany,1
Data Scientist,Spezialist Strategische Sicherheitsanalyse & Zukunftstechnologien (w/m/d),MAN Truck & Bus,München,,Germany,1
Data Scientist,Senior AI Scientist (m/w/d),BWI GmbH,München,,Germany,1
Data Scientist,Data Analyst Produktion & Reporting (m/w/d) | Baden-Württemberg,WALA Heilmittel GmbH,Bad Boll,,Germany,1
Data Scientist,Masterand Qualitätsmanagement und KI-basierte Systeme (w/m/x),BMW AG,Dingolfing,,Germany,1
Data Scientist,Werkstudent:in (m/w/d) - RPA & KI / GenAI-Unterstützung,KHS GmbH,Dortmund,,Germany,1
Data Scientist,Praktikum Einkauf - Preismanagement & Datenanalyse Non Food,Lidl Dienstleistung GmbH & Co. KG,Neckarsulm,,Germany,1
Data Scientist,AI Engineer (w|m|d),BridgingIT GmbH,Mannheim,,Germany,1
Data Scientist,Postdoctoral Scientist (f/m/d),Leibniz-Institut für Pflanzen- genetik und Kulturpflanzen- forschung (IPK),Gatersleben,,Germany,1
Data Scientist,Versicherungs-Data Engineer für Aktuarielle Prozesse (m/w/d),PS Direkt GmbH & Co. KG,Köln,,Germany,1
Data Scientist,Senior Scientist (f/m/d),Lipotype GmbH,Dresden,,Germany,1
Data Scientist,Group Controller - Data Analytics Specialist (m/w/d),TEDi GmbH & Co. KG,Dortmund,,Germany,1
Data Scientist,Applied Science Manager - ZMS (all genders),Zalando SE,Berlin,,Germany,1
Data Scientist,Regierungsbeschäftigte/r (EG 8) in der Führungsstelle der Direktion Kriminalität (w/m/d),Polizeipräsidium Düsseldorf,Düsseldorf,,Germany,1
Data Scientist,Student*in für Masterarbeit Entwicklung App im QM-Umfeld auf Basis von Microsoft 365,Mercedes-Benz Group AG,Sindelfingen,,Germany,1
Data Scientist,Scientist in Marine Digital Innovation,Helmholtz-Zentrum hereon GmbH,Geesthacht,,Germany,1
Data Scientist,Senior AI Engineer - Human-Like Behaviour (f/m/x),BMW AG,München,,Germany,1
Data Scientist,Projektleitung (m/w/d) ganzheitliches Datenmanagement im Corporate Real Estate Management,Diehl Defence GmbH & Co. KG,Überlingen,Bodensee,Germany,1
Data Scientist,Senior MLOps Engineer - Autonomous Driving Platform (f/m/x),BMW AG,München,,Germany,1
Data Scientist,Leitung Abteilung ASV Modellierung (m/w/d),AXA Konzern AG,Köln,,Germany,1
Data Scientist,Instrument Operations Scientist (f/m/d),MPI f. Sonnensystemforschung,Göttingen,,Germany,1
Data Scientist,Scientist as doctoral cadidate (m/f/d),Universitätsklinikum Erlangen AöR,Erlangen,,Germany,1
